A nu
95 1.2744
96 1.3022
97 1.2856
98 1.3466
99 1.2857
100 1.2747
101 1.3136
102 1.3524
103 1.3968
104 1.4578
105 1.5299
106 1.6075
107 1.7183
108 1.8126
109 1.9345
110 2.0398
111 2.1396
112 2.2117
113 2.3336
114 2.4445
115 2.5166
116 2.6219
117 2.7051
135 1.2546
136 1.3544
137 1.4154
138 1.4986
139 1.554
140 1.615
141 1.6594
142 1.6927
143 1.726
144 1.7759
145 1.848
146 1.9201
147 1.9866
148 2.0476
149 2.1031
150 2.1696
151 2.214
152 2.336
153 2.4025
154 2.4081
155 2.4802
156 2.5522
157 2.6299
