A nu errnu
80 0.603 0.1406
81 0.8053 0.123
82 0.8583 0.123
84 0.9727 0.1318
85 1.1136 0.0791
87 1.1226 0.0967
88 1.1668 0.1142
90 1.1671 0.1054
91 1.264 0.0703
93 1.2643 0.0615
94 1.2733 0.0527
96 1.3263 0.0527
97 1.3266 0.0615
99 1.3356 0.0439
100 1.3886 0.044
102 1.424 0.0439
103 1.477 0.0527
105 1.6442 0.0352
106 1.8465 0.0439
108 2.0313 0.0528
109 2.1897 0.0352
111 2.3306 0.0528
112 2.4363 0.0527
114 2.6474 0.0439
115 2.7443 0.0615
117 2.9467 0.0527
118 3.0436 0.0703
120 3.3514 0.0791
121 3.6152 0.1142
123 3.7033 0.1055
124 3.5982 0.1318
126 1.9465 0.1318
127 1.6393 0.0967
129 1.1563 0.0703
130 0.8226 0.0527
131 0.8404 0.0527
133 0.8758 0.0528
136 1.1839 0.0439
137 1.2808 0.0439
139 1.3865 0.0527
140 1.4395 0.0615
142 1.4925 0.0527
143 1.5367 0.0527
145 1.6951 0.0527
146 1.8008 0.0615
148 1.9856 0.0615
149 2.1352 0.0527
151 2.2848 0.0703
152 2.496 0.0967
154 2.6983 0.0879
155 2.8567 0.1143
157 3.0064 0.1054
159 2.9627 0.1318
160 3.0069 0.1669
162 3.1829 0.2109
163 3.728 0.1933
165 3.5173 0.3075
166 3.377 0.4393
168 3.843 0.6151
170 3.7203 0.9577
