A nu errnu
75 0.4071 0.1916
76 0.721 0.1543
78 0.8434 0.1384
80 1.0243 0.133
82 1.019 0.1064
83 0.9019 0.0692
84 1.0349 0.0851
86 0.9976 0.0905
87 1.1732 0.0958
89 1.2637 0.0639
92 1.3062 0.0692
93 1.3701 0.0639
95 1.4392 0.0692
97 1.3754 0.0639
98 1.4711 0.0479
101 1.4179 0.0
103 1.4658 0.0
105 1.503 0.0692
106 1.7903 0.0
108 1.9925 0.0
109 2.3703 0.0745
111 2.498 0.1064
112 2.6364 0.1384
113 2.6896 0.2288
115 2.482 0.3619
116 1.8807 0.4257
118 1.6998 0.4151
119 1.1357 0.3885
120 1.1889 0.3725
121 1.0399 0.2767
123 0.7153 0.2874
124 0.6461 0.1596
126 0.4811 0.1224
127 0.529 0.0798
129 0.4491 0.0
131 0.3746 0.0798
132 0.5289 0.0
133 0.7524 0.0
135 1.0823 0.0
137 1.2739 0.0
138 1.3962 0.0692
141 1.5505 0.0
143 1.6836 0.0
144 1.8379 0.0
146 1.9815 0.0852
148 2.1039 0.0798
149 2.1784 0.1118
151 2.04 0.1437
152 2.2582 0.1596
154 2.322 0.2182
