A nu errnu
85 0.675 0.1
86 0.6 0.075
87 0.9 0.075
88 0.85 0.075
90 0.825 0.075
91 1.25 0.06
92 1.125 0.0
93 1.25 0.0
95 1.3 0.0
96 1.25 0.0
97 1.325 0.0
98 1.4 0.0
100 1.45 0.0
101 1.425 0.0
102 1.475 0.0
103 1.475 0.0
106 1.625 0.0
107 1.65 0.0
108 1.875 0.0
110 2.225 0.075
111 2.3 0.075
112 2.525 0.1
113 3.15 0.15
115 2.8 0.225
117 2.75 0.325
118 2.55 0.375
121 1.575 0.325
123 1.5 0.275
125 1.175 0.175
126 0.725 0.1
127 0.625 0.075
128 0.475 0.075
130 0.425 0.0
131 0.65 0.0
132 0.675 0.0
133 0.825 0.0
135 1.05 0.0
137 1.325 0.0
138 1.45 0.0
140 1.55 0.0
141 1.625 0.0
142 1.8 0.0
143 1.95 0.0
145 2.1 0.0
146 2.3 0.075
147 2.375 0.075
148 2.65 0.1
150 2.5 0.1
151 2.95 0.125
152 2.75 0.15
153 3.25 0.2
155 3.575 0.25
