A nu errnu
73 0.5604 0.3373
75 0.7003 0.2737
76 0.9357 0.2037
77 0.7257 0.1273
79 0.6492 0.0955
81 1.0119 0.1273
82 0.8909 0.1018
84 1.0118 0.0636
85 0.9799 0.0573
87 1.088 0.0636
88 1.2089 0.07
90 1.2025 0.0509
91 1.3361 0.0446
93 1.2978 0.0382
94 1.3678 0.0382
96 1.4441 0.0382
97 1.4567 0.0446
99 1.4631 0.0446
100 1.4566 0.065141
102 1.5457 0.069126
103 1.5138 0.0318
105 1.6156 0.0318
106 1.8128 0.0255
107 1.9591 0.0318
109 2.3664 0.0509
110 2.6145 0.0636
112 2.8245 0.1273
113 3.219 0.21
115 2.8116 0.3055
116 2.4488 0.2991
118 2.2578 0.28
119 2.4933 0.4137
121 1.895 0.3373
122 1.8949 0.3309
124 1.6976 0.2991
126 0.7047 0.1209
127 0.5774 0.0955
129 0.3736 0.0636
130 0.4245 0.0509
132 0.3799 0.0446
133 0.5389 0.0446
134 0.7489 0.0573
136 1.0607 0.0255
137 1.2197 0.0382
139 1.3469 0.0318
141 1.3787 0.0318
142 1.4996 0.0318
144 1.5695 0.0318
145 1.6967 0.0382
147 1.894 0.0318
148 1.9321 0.0573
150 1.9766 0.0827
151 1.9001 0.0827
153 2.2947 0.1464
154 2.5555 0.1527
156 2.5809 0.1655
157 2.8673 0.2673
159 2.7845 0.3437
160 2.4726 0.3437
162 2.7844 0.4773
163 2.8925 0.5473
165 3.2043 0.5919
