A nu
80 0.0203
82 0.0434
84 0.1114
85 0.1796
86 0.2363
88 0.3157
89 0.5419
90 0.689
91 0.6214
92 0.9099
94 1.0288
95 1.1308
96 1.1989
98 1.2954
99 1.516
101 1.5841
102 1.6521
103 1.6975
104 1.9407
106 1.7998
107 1.9244
108 2.7268
109 1.41075
111 1.40555
115 0.5478
117 0.57075
119 0.2888
121 1.3061
123 0.78105
125 0.3351
126 0.9851
127 0.573
128 0.8783
130 0.7317
131 0.8902
132 1.2746
134 1.23545
135 1.264
136 1.3999
139 1.43995
141 1.5477
142 1.9661
143 2.0454
144 2.2152
145 2.8142
146 3.4359
