A nu errnu
78 0.137395 0.11184
79 0.589828 0.25124
80 0.685209 0.303011
81 0.528471 0.200804
82 0.194187 0.070372
83 0.530241 0.13696
84 0.762653 0.141594
85 0.813056 0.120176
86 0.666473 0.084179
87 0.785451 0.08031
88 0.858188 0.078029
89 0.900135 0.069685
90 1.01111 0.070023
91 1.03306 0.061482
92 1.15428 0.063376
93 1.10882 0.05467
94 1.05944 0.046839
95 1.19635 0.048352
96 1.24871 0.044724
97 1.23055 0.040075
98 1.21203 0.03577
99 1.2285 0.032864
100 1.22383 0.028981
101 1.33193 0.028644
102 1.37952 0.027477
103 1.45523 0.02647
104 1.50993 0.025412
105 1.61831 0.025221
106 1.76879 0.025812
107 1.87477 0.026581
108 1.99647 0.02792
109 2.13832 0.029909
110 2.20412 0.031421
111 2.31159 0.033195
112 2.38635 0.03495
113 2.51391 0.037832
114 2.54712 0.039642
115 2.61123 0.041971
116 2.72045 0.046194
117 2.89273 0.052415
118 2.86652 0.054906
119 3.01188 0.064455
120 3.00898 0.072214
121 3.04315 0.08479
122 3.30889 0.113693
123 3.05025 0.132938
124 2.59038 0.140254
125 2.66984 0.15602
126 2.02823 0.11476
127 1.41509 0.092855
128 0.892649 0.06084
129 0.785611 0.045625
130 0.715316 0.034799
131 0.673577 0.026216
132 0.737951 0.024063
133 0.880409 0.024266
134 1.02853 0.024134
135 1.18495 0.025339
136 1.32201 0.025552
137 1.40943 0.025242
138 1.45949 0.024945
139 1.52748 0.02495
140 1.61994 0.025192
141 1.65715 0.025009
142 1.67982 0.024868
143 1.7229 0.024814
144 1.72924 0.024515
145 1.81184 0.025551
146 1.87729 0.026781
147 1.89453 0.028264
148 1.9586 0.030973
149 2.00179 0.033762
150 2.10657 0.038128
151 2.12018 0.041029
152 2.15913 0.045052
153 2.19242 0.051201
154 2.19097 0.056567
155 2.32608 0.066035
156 2.46217 0.076203
157 2.5408 0.087435
158 2.35409 0.086938
159 2.61819 0.107091
160 2.67732 0.122112
161 2.59503 0.126332
162 2.70682 0.149227
163 2.68138 0.162745
164 2.77216 0.192576
165 2.42319 0.185648
166 2.96501 0.27015
167 3.12979 0.345473
168 4.23933 0.541337
169 3.34009 0.537634
170 2.51553 0.412059
171 3.9961 1.10823
172 5.1152 1.47728
173 3.85564 1.11196
174 2.04903 0.735744
175 4.32597 1.53973
176 1.69375 1.39004
177 2.3116 0.971735
178 4.34879 4.68258
179 1.30668 1.52194
180 0.985385 1.22909
181 0.383448 0.546486
