A nu errnu
79 0.7016 0.1665
80 0.7886 0.1402
81 0.9545 0.1839
83 1.1028 0.1576
84 0.9446 0.1226
86 1.0317 0.1313
87 1.1449 0.1225
89 1.0918 0.0
90 1.2313 0.0
92 1.187 0.0
93 1.2564 0.0
95 1.2557 0.0
96 1.3428 0.0
99 1.4031 0.0
102 1.428 0.0
103 1.6467 0.0
104 1.8389 0.0
107 2.0306 0.0
108 2.1789 0.0
109 2.3011 0.0
112 2.5978 0.0
113 2.7636 0.0
115 2.9468 0.0
116 3.2441 0.0
118 3.4012 0.0876
119 3.5319 0.1227
121 3.3913 0.1139
122 2.6552 0.1052
125 1.9183 0.1664
126 1.5061 0.1401
128 1.0237 0.1051
129 0.7605 0.0
132 0.803 0.0
134 0.9601 0.0
135 1.0997 0.0
136 1.2481 0.0
138 1.3262 0.0
140 1.3782 0.0
142 1.421 0.0
144 1.6831 0.0
146 1.8836 0.0
147 2.0673 0.0
149 2.1804 0.0
150 2.4427 0.0
151 2.6348 0.0
153 2.8006 0.0
154 2.87 0.0
156 2.782 0.0
158 2.7899 0.1051
159 3.2273 0.1576
160 3.5772 0.2627
163 3.6287 0.219
165 3.6716 0.6394
166 3.0054 0.4905
