A nuPair errnuPair
80 0.56064 0.13355
81 0.41484 0.15526
82 0.61727 0.12728
83 0.66314 0.1228
84 0.65534 0.12353
85 0.71945 0.1179
86 0.89415 0.10575
87 0.98598 0.10071
88 0.9655 0.10177
89 1.08306 0.09609
90 1.09338 0.09563
91 1.11192 0.09483
92 1.07854 0.09629
93 1.23907 0.08984
94 1.18219 0.09197
95 1.24438 0.08964
96 1.2517 0.08938
97 1.23045 0.09015
98 1.23979 0.08981
99 1.26197 0.08902
100 1.27096 0.0887
101 1.29626 0.08783
102 1.31719 0.08713
103 1.37072 0.08541
104 1.42477 0.08378
105 1.49502 0.08179
106 1.59468 0.07919
107 1.75969 0.07538
108 1.84551 0.07361
109 1.99262 0.07084
110 2.08147 0.06931
111 2.22238 0.06708
112 2.2711 0.06636
113 2.39223 0.06465
114 2.54919 0.06263
115 2.58119 0.06224
116 2.6953 0.06091
117 2.80554 0.0597
118 2.91005 0.05862
119 3.07487 0.05703
120 3.18203 0.05606
121 3.34724 0.05466
122 3.39977 0.05423
123 3.43792 0.05393
124 2.86845 0.05904
125 2.56949 0.06238
126 2.18467 0.06766
127 1.79324 0.07468
128 1.38099 0.0851
129 0.92095 0.1042
130 0.72268 0.11763
131 0.70656 0.11897
132 0.79998 0.1118
133 0.87086 0.10716
134 1.02203 0.09892
135 1.19254 0.09157
136 1.32211 0.08697
137 1.44157 0.08329
138 1.51285 0.0813
139 1.58364 0.07946
140 1.67065 0.07737
141 1.67103 0.07736
142 1.76312 0.07531
143 1.78242 0.0749
144 1.80165 0.0745
145 1.85721 0.07338
146 1.92063 0.07216
147 2.02799 0.07022
148 2.03861 0.07004
149 2.09722 0.06905
150 2.15737 0.06808
151 2.21312 0.06722
152 2.29556 0.066
153 2.39271 0.06465
154 2.4017 0.06453
155 2.47592 0.06355
156 2.5694 0.06239
157 2.50525 0.06318
158 2.6337 0.06162
159 2.8097 0.05966
160 2.67354 0.06116
161 2.6846 0.06103
162 2.79123 0.05986
163 2.82129 0.05954
164 2.95201 0.0582
165 3.03505 0.0574
166 3.19505 0.05594
167 2.81072 0.05965
168 2.90592 0.05866
169 3.18653 0.05602
170 3.20944 0.05582
171 4.13908 0.04915
172 3.39738 0.05425
173 3.22054 0.05572
174 3.29516 0.05509
175 3.53499 0.05319
176 4.37134 0.04783
177 3.28041 0.05521
178 3.47293 0.05366
