A nu errnu
74 0.56491 1.10887
75 0.45899 0.81378
76 0.79825 0.88597
77 0.29772 0.67162
78 0.72326 0.4847
79 0.50999 0.55845
80 0.44612 0.44582
81 0.51637 0.47035
82 0.51763 0.35137
83 0.51407 0.38912
84 0.64507 0.31447
85 0.55594 0.28238
86 0.6613 0.28344
87 0.92552 0.25004
88 0.83112 0.24404
89 0.87244 0.21934
90 1.03325 0.21316
91 1.01515 0.192
92 1.09881 0.18451
93 1.09446 0.18021
94 1.11044 0.16506
95 1.11436 0.15759
96 1.18491 0.14837
97 1.18552 0.13929
98 1.15654 0.13132
99 1.08274 0.12166
100 1.08947 0.11282
101 1.07491 0.10367
102 1.12739 0.09952
103 1.12373 0.09403
104 1.1786 0.0898
105 1.22157 0.08612
106 1.26889 0.08251
107 1.36064 0.08029
108 1.4746 0.07868
109 1.54373 0.07902
110 1.66811 0.07906
111 1.79937 0.07932
112 1.8641 0.07924
113 1.98827 0.08089
114 2.15988 0.08233
115 2.26522 0.08425
116 2.35705 0.08673
117 2.56206 0.08795
118 2.71766 0.08877
119 2.87499 0.0907
120 3.06093 0.09216
121 3.21128 0.09389
122 3.32928 0.09646
123 3.37879 0.1056
124 3.43863 0.12134
125 2.97607 0.14526
126 2.32568 0.17741
127 1.45541 0.18758
128 1.05633 0.18446
129 0.88113 0.16945
130 0.84494 0.1561
131 0.93759 0.14482
132 1.04766 0.13455
133 1.16247 0.12492
134 1.23752 0.11723
135 1.33878 0.11066
136 1.43666 0.10332
137 1.4579 0.09844
138 1.48685 0.09392
139 1.51911 0.08893
140 1.52134 0.0851
141 1.57209 0.08317
142 1.60153 0.0802
143 1.64254 0.07732
144 1.64795 0.07569
145 1.73221 0.07382
146 1.79435 0.07314
147 1.88136 0.07411
148 1.9547 0.07531
149 2.03263 0.07652
150 2.15332 0.07942
151 2.17406 0.08112
152 2.38056 0.08584
153 2.52231 0.09046
154 2.67268 0.09776
155 2.74584 0.10355
156 2.8726 0.10846
157 2.96201 0.11156
158 2.97207 0.11657
159 3.24021 0.12266
160 3.07472 0.12822
161 3.0553 0.13021
162 3.433 0.13927
163 3.23571 0.13844
164 3.56293 0.14623
165 3.25007 0.16069
166 3.72414 0.155
167 3.29444 0.15287
168 3.43375 0.17585
169 4.65601 0.0
