A nu errnu
78 0.0 0.0
79 0.615 0.11
81 0.832 0.11
82 0.892 0.11
84 1.005 0.1
85 1.166 0.1
87 1.141 0.06
88 1.201 0.055
90 1.174 0.05
91 1.327 0.05
93 1.311 0.04
94 1.318 0.04
96 1.338 0.04
97 1.374 0.04
99 1.351 0.04
100 1.417 0.03
102 1.465 0.03
103 1.492 0.03
105 1.671 0.02
106 1.882 0.02
108 2.051 0.02
109 2.231 0.03
111 2.373 0.04
112 2.516 0.05
114 2.687 0.05
115 2.808 0.055
117 3.023 0.055
118 3.114 0.06
120 3.427 0.06
121 3.682 0.1
123 3.817 0.11
124 3.708 0.11
126 2.01 0.07
127 1.7 0.06
129 1.164 0.055
130 0.823 0.05
132 0.813 0.04
133 0.897 0.04
135 1.027 0.04
136 1.175 0.04
138 1.276 0.04
139 1.393 0.03
141 1.438 0.02
142 1.469 0.02
144 1.541 0.03
145 1.676 0.03
147 1.826 0.03
148 2.006 0.04
150 2.202 0.04
151 2.324 0.04
153 2.536 0.05
154 2.734 0.1
156 2.902 0.11
157 3.094 0.12
159 3.011 0.12
160 3.084 0.13
162 3.251 0.13
163 3.776 0.24
165 3.612 0.28
166 3.413 0.33
168 3.911 0.5
169 3.816 0.85
171 2.699 1.05
172 1.265 0.165
174 0.0 0.0
