A nu errnu
70 0.7736 0.2009
71 1.121 0.1966
72 0.9635 0.1375
73 0.7152 0.07798
74 1.273 0.1075
75 0.735 0.05773
76 0.675 0.04557
77 0.9859 0.05206
78 0.9538 0.0449
79 0.8592 0.03439
80 0.8357 0.02783
81 0.9516 0.02675
82 0.9952 0.02421
83 0.9203 0.01924
84 1.12 0.02047
85 1.059 0.01701
86 1.115 0.01591
87 1.108 0.01413
88 1.246 0.01403
89 1.287 0.01322
90 1.248 0.01183
91 1.328 0.0117
92 1.415 0.01188
93 1.396 0.01133
94 1.42 0.01119
95 1.486 0.0116
96 1.526 0.01175
97 1.559 0.01208
98 1.599 0.01255
99 1.636 0.01317
100 1.602 0.01344
101 1.715 0.01468
102 1.682 0.01534
103 1.745 0.01695
104 1.755 0.01844
105 1.747 0.02039
106 1.773 0.02342
107 1.97 0.02966
108 2.139 0.03735
109 1.867 0.0405
110 2.349 0.06107
111 2.148 0.06834
112 2.197 0.08961
113 2.277 0.112
114 2.908 0.1727
115 2.701 0.1862
116 2.034 0.157
117 1.959 0.1734
118 1.803 0.1456
119 1.323 0.1106
120 2.26 0.1819
121 1.67 0.1356
122 1.441 0.09808
123 0.8906 0.06254
124 0.8986 0.05051
125 0.7707 0.03924
126 0.7634 0.03289
127 0.5547 0.0207
128 0.6156 0.01889
129 0.6015 0.01572
130 0.5765 0.01294
131 0.6085 0.01172
132 0.652 0.01102
133 0.7417 0.01105
134 0.7838 0.01058
135 0.8361 0.01039
136 0.9379 0.01069
137 0.9434 0.01034
138 1.082 0.01123
139 1.102 0.01133
140 1.157 0.01169
141 1.133 0.01182
142 1.2 0.01269
143 1.239 0.01394
144 1.215 0.01462
145 1.26 0.01637
146 1.299 0.01897
147 1.362 0.02209
148 1.346 0.02517
149 1.543 0.03292
150 1.536 0.0388
151 1.584 0.04809
152 1.351 0.0504
153 1.704 0.07741
154 2.53 0.1482
155 1.985 0.1451
156 2.265 0.2221
157 2.686 0.3382
158 1.224 0.2217
159 3.442 0.7071
