A nu errnu
82 0.4321 0.0671
83 0.5053 0.0671
84 0.6212 0.0549
85 0.7554 0.0
87 0.8347 0.0
88 0.8714 0.0
89 0.9873 0.0
90 1.1093 0.0
92 1.1459 0.0
93 1.2191 0.0
94 1.274 0.0
95 1.3411 0.0
97 1.3655 0.0
98 1.4082 0.0
99 1.396 0.0
101 1.4265 0.0
102 1.5059 0.0
103 1.6706 0.0
105 1.8109 0.0
106 2.1465 0.0
107 2.4027 0.061
108 2.4637 0.0732
110 2.4393 0.0976
112 2.6712 0.1708
114 2.4515 0.2319
116 1.396 0.2319
117 1.8963 0.2807
119 1.4814 0.2013
121 1.1154 0.1708
123 1.1154 0.1281
125 0.6334 0.0976
126 0.3954 0.0549
127 0.3283 0.0549
129 0.3832 0.0427
130 0.3771 0.0
131 0.4564 0.0
132 0.5601 0.0
133 0.6883 0.0
135 0.8591 0.0
136 1.0726 0.0
137 1.213 0.0
139 1.3045 0.0
140 1.3899 0.0
141 1.4997 0.0
143 1.7072 0.0
144 1.8231 0.0
145 1.8719 0.0
146 2.0793 0.061
147 2.3539 0.0671
148 2.482 0.0976
150 2.6589 0.1281
151 2.8481 0.1891
