A nu errnu
71 2.02674 2.10696
72 2.11388 1.61295
73 0.7247 0.73914
74 0.49645 0.51886
75 0.0 0.0
76 0.40151 0.29291
77 0.33865 0.18989
78 0.31952 0.11981
79 0.13176 0.05749
80 0.19422 0.05592
81 0.42631 0.06811
82 0.44188 0.04811
83 0.46947 0.03942
84 0.58741 0.03559
85 0.68296 0.03245
86 0.78136 0.02953
87 0.85167 0.0262
88 0.99 0.02425
89 1.1102 0.02321
90 1.14989 0.02128
91 1.25965 0.02053
92 1.26153 0.01904
93 1.30871 0.01848
94 1.39799 0.01867
95 1.37013 0.01818
96 1.41531 0.01828
97 1.43057 0.0183
98 1.48858 0.01877
99 1.47712 0.01891
100 1.51101 0.01946
101 1.57537 0.02046
102 1.62641 0.02163
103 1.66038 0.02353
104 1.65073 0.02599
105 1.71145 0.03018
106 1.80042 0.03647
107 1.78801 0.04455
108 1.82527 0.05738
109 1.69446 0.07225
110 1.98919 0.10705
111 1.55423 0.13084
112 1.85541 0.19057
113 1.73779 0.2386
114 1.99753 0.32016
115 1.45067 0.34511
116 1.74256 0.38704
117 1.82138 0.42931
118 1.96977 0.4691
119 1.39704 0.36218
120 1.24222 0.33506
121 1.84657 0.42974
122 1.08501 0.26819
123 0.44953 0.11372
124 0.36349 0.08254
125 0.27309 0.05724
126 0.25555 0.04039
127 0.27467 0.02925
128 0.21727 0.01967
129 0.26257 0.01739
130 0.28857 0.01468
131 0.37426 0.01405
132 0.49755 0.01438
133 0.60763 0.01427
134 0.71132 0.01439
135 0.77203 0.01423
136 0.86942 0.01457
137 0.95946 0.01501
138 1.03202 0.01545
139 1.06628 0.01562
140 1.09695 0.01581
141 1.15282 0.01642
142 1.15285 0.01646
143 1.1944 0.01739
144 1.22791 0.01835
145 1.24183 0.01981
146 1.32134 0.02234
147 1.40262 0.0251
148 1.48993 0.02906
149 1.49134 0.0335
150 1.57797 0.04005
151 1.72714 0.04905
152 1.85446 0.06132
153 1.93022 0.07637
154 2.0112 0.09778
155 1.8237 0.12137
156 2.06458 0.16868
157 2.29106 0.246
158 2.81895 0.36676
159 3.71458 0.63743
160 1.63516 0.57322
161 3.86085 1.23161
162 7.1316 2.80976
163 3.0239 1.29603
164 0.82087 0.85481
165 3.41451 2.47122
166 0.0 0.0
