A nu errnu
81 0.811 0.0601369
83 0.82 0.0471785
85 0.845 0.0601486
87 0.952 0.0562019
89 1.084 0.0433402
91 1.143 0.0384273
93 1.254 0.0385138
95 1.275 0.038531
97 1.369 0.0435414
99 1.305 0.0346205
101 1.424 0.0347375
103 1.449 0.0347633
105 1.594 0.051619
107 1.88 0.0607319
109 1.983 0.0776357
111 1.696 0.132272
113 1.687 0.167213
115 1.49 0.299093
121 1.378 0.26509
123 1.297 0.179117
125 0.878 0.128075
127 0.758 0.0980733
129 0.497 0.0680454
131 0.518 0.0340985
133 0.748 0.0342051
135 0.919 0.0382768
137 0.957 0.0432654
139 1.132 0.0384192
141 1.17 0.0344996
143 1.307 0.051417
145 1.426 0.0475377
147 1.593 0.0734332
149 1.75 0.0814712
151 1.776 0.0984015
153 1.993 0.132376
155 2.019 0.192265
